GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.admin.wrap.dto.response,WrapCreateResponseDto,0,18,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.admin.wrap.dto.response,WrapResponseDto,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.admin.wrap.dto.response,WrapUpdateResponseDto,0,18,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.publisher.exception,PublisherAlreadyExistException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.publisher.exception,PublisherNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.imageset.entity,Image,0,6,0,0,0,3,0,1,0,1
bookstore,com.nhnacademy.bookstore.imageset.entity,WrapImage,0,9,0,0,0,4,0,1,0,1
bookstore,com.nhnacademy.bookstore.imageset.entity,ReviewImage,0,9,0,0,0,4,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.entity,Book,7,35,0,0,2,13,1,2,1,2
bookstore,com.nhnacademy.bookstore.user.member.dto.request,MemberWithdrawRequesteDto,0,6,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.request,MemberCreateRequestDto,0,27,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.request,MemberUpdateRequesteDto,0,12,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.request,AddressUpdateRequestDto,0,18,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.request,MemberAddressRequestDto,0,21,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.nonmember.service,NonMemberService,46,0,0,0,8,0,3,0,3,0
bookstore,com.nhnacademy.bookstore.orderset.order.mapper,OrderMapperImpl,199,0,28,0,70,0,20,0,6,0
bookstore,com.nhnacademy.bookstore.bookset.tag.service,TagServiceImpl,5,154,0,4,0,30,1,9,1,7
bookstore,com.nhnacademy.bookstore.cart.controller,CartController,0,256,0,21,0,41,0,15,0,4
bookstore,com.nhnacademy.bookstore.cart.service,CartService,0,92,0,8,0,15,0,8,0,4
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookSimpleResponseDto,0,30,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookContributorResponseDto,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookCreateAPIResponseDto,0,45,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookResponseDto,0,57,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookTagResponseDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookCreateResponseDto,0,51,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookUpdateResponseDto,0,63,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.dto.response,BookUpdateResultResponseDto,0,51,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.handler,GlobalExceptionHandler,0,164,0,0,0,50,0,8,0,8
bookstore,com.nhnacademy.bookstore.user.tier.service.impl,TierServiceImpl,0,45,0,2,0,9,0,3,0,2
bookstore,com.nhnacademy.bookstore.bookset.tag.entity,Tag,0,10,0,0,0,5,0,2,0,2
bookstore,com.nhnacademy.bookstore.shipment.controller,ShipmentController,0,55,0,0,0,14,0,7,0,7
bookstore,com.nhnacademy.bookstore.shipment.controller,CarrierController,0,41,0,0,0,10,0,5,0,5
bookstore,com.nhnacademy.bookstore.shipment.controller,ShipmentPolicyController,0,64,0,0,0,16,0,8,0,8
bookstore,com.nhnacademy.bookstore.coupon.entity.member,MemberCoupon,0,30,0,0,0,10,0,2,0,2
bookstore,com.nhnacademy.bookstore.bookset.book.repository,BookRepositoryImpl,39,1495,7,35,0,237,7,26,0,12
bookstore,com.nhnacademy.bookstore.orderset.orderstate.dto.request,UpdateOrderStateRequest,6,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.orderset.orderstate.dto.request,CreateOrderStateRequest,6,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.common,InvalidPathVariableException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.orderset.orderstate.converter,OrderStateTypeConverter,36,6,8,0,6,2,5,2,1,2
bookstore,com.nhnacademy.bookstore.orderset.orderstate.entity.vo,OrderStateType,28,51,4,0,4,7,3,1,1,1
bookstore,com.nhnacademy.bookstore.common.error.exception.user.member,MemberDuplicateException,0,7,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.user.member,MemberPasswordNotEqualException,0,6,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.user.member,MemberNotFoundException,0,13,0,0,0,4,0,2,0,2
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.category,CategoryNotFoundException,0,4,0,0,0,2,0,1,0,1
